NO,ANCETRAL_PLACE
1,上海
10,内蒙古
100,广西
1000,陕西
10000,山东
100000,甘肃
1000000,浙江
100001,天津
100002,甘肃
100003,内蒙古
100004,浙江
100005,广东
100006,新疆
100007,陕西
100008,广西
100009,新疆
10001,黑龙江
100010,山西
100011,河北
100012,江西
100013,广西
100014,山东
100015,江苏
100016,天津
100017,海南
100018,贵州
100019,山西
10002,江西
100020,澳门
100021,云南
100022,海南
100023,广东
100024,青海
100025,重庆
100026,澳门
100027,吉林
100028,上海
100029,山东
10003,河南
100030,香港
100031,安徽
100032,香港
100033,内蒙古
100034,广西
100035,重庆
100036,海南
100037,湖北
100038,安徽
100039,广东
10004,宁夏
100040,江西
100041,海南
100042,广西
100043,浙江
100044,山西
100045,台湾
100046,吉林
100047,广东
100048,吉林
100049,西藏
10005,天津
100050,山西
100051,台湾
100052,湖北
100053,广东
100054,安徽
100055,天津
100056,内蒙古
100057,新疆
100058,陕西
100059,福建
10006,贵州
100060,河南
100061,河南
100062,湖南
100063,湖北
100064,江西
100065,青海
100066,河北
100067,山东
100068,贵州
100069,上海
10007,贵州
100070,福建
100071,天津
100072,吉林
100073,山东
100074,四川
100075,内蒙古
100076,海南
100077,陕西
100078,台湾
100079,湖北
10008,安徽
100080,西藏
100081,河南
100082,天津
100083,内蒙古
100084,宁夏
100085,上海
100086,山东
100087,广西
100088,江苏
100089,山西
10009,黑龙江
100090,吉林
100091,广东
100092,福建
100093,湖南
100094,山东
100095,湖南
100096,宁夏
100097,北京
100098,河北
100099,云南
1001,江苏
10010,广东
100100,广西
100101,安徽
100102,广东
100103,黑龙江
100104,江西
100105,贵州
100106,吉林
100107,天津
100108,湖北
100109,天津
10011,江苏
100110,天津
100111,江西
100112,山西
100113,北京
100114,山西
100115,贵州
100116,云南
100117,广西
100118,甘肃
100119,广西
10012,重庆
100120,广西
100121,上海
100122,山西
100123,山西
100124,江西
100125,云南
100126,新疆
100127,重庆
100128,广西
100129,广东
10013,澳门
100130,上海
100131,陕西
100132,云南
100133,贵州
100134,西藏
100135,辽宁
100136,吉林
100137,福建
100138,安徽
100139,辽宁
10014,山东
100140,澳门
100141,内蒙古
100142,香港
100143,广西
100144,澳门
100145,重庆
100146,山西
100147,山西
100148,四川
100149,台湾
10015,四川
100150,山东
100151,内蒙古
100152,山西
100153,西藏
100154,广西
100155,辽宁
100156,湖南
100157,北京
100158,青海
100159,香港
10016,河南
100160,甘肃
100161,湖北
100162,重庆
100163,湖北
